error,correct,learncount,type,correctly_Found,learnrate,Learning,InvestigationRate,Correct Count,NameOfSpecies,epoch
2019-05-09 08:05
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.122216,1.0,5,RL,True,1e-05,True,5,0,0
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],1.168949,0.0,10,RL,False,1e-05,True,9,0,0
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.241644,1.0,15,RL,True,1e-05,True,13,0,2
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],1.183784,0.0,20,RL,False,1e-05,True,15,0,4
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121920,1.0,25,RL,True,1e-05,True,20,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122518,1.0,30,RL,True,1e-05,True,25,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.152892,1.0,35,RL,True,1e-05,True,30,0,5
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.180315,1.0,40,RL,True,1e-05,True,35,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.795860,1.0,45,RL,True,1e-05,True,40,0,5
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121926,1.0,50,RL,True,1e-05,True,44,0,6
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122036,1.0,55,RL,True,1e-05,True,49,0,6
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121915,1.0,60,RL,True,1e-05,True,54,0,6
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.123351,1.0,65,RL,True,1e-05,True,59,0,6
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],1.221017,0.0,70,RL,False,1e-05,True,62,0,7
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],2.746703,0.0,75,RL,False,1e-05,True,65,0,9
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],3.337482,0.0,80,RL,False,1e-05,True,69,0,10
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.171296,1.0,85,RL,True,1e-05,True,73,0,12
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.130130,1.0,90,RL,True,1e-05,True,76,0,14
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121915,1.0,95,RL,True,1e-05,True,80,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121915,1.0,100,RL,True,1e-05,True,85,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.255636,1.0,105,RL,True,1e-05,True,90,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121960,1.0,110,RL,True,1e-05,True,95,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122802,1.0,115,RL,True,1e-05,True,100,0,15
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.153413,1.0,120,RL,True,1e-05,True,105,0,15
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.251001,1.0,125,RL,True,1e-05,True,108,0,17
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],2.417733,0.0,130,RL,False,1e-05,True,110,0,19
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121938,1.0,135,RL,True,1e-05,True,113,0,22
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.249011,1.0,140,RL,True,1e-05,True,117,0,23
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121915,1.0,145,RL,True,1e-05,True,122,0,23
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.298200,1.0,150,RL,True,1e-05,True,125,0,25
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],1.473928,0.0,155,RL,False,1e-05,True,129,0,25
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122732,1.0,160,RL,True,1e-05,True,133,0,27
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.168072,1.0,165,RL,True,1e-05,True,138,0,27
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121918,1.0,170,RL,True,1e-05,True,142,0,28
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122077,1.0,175,RL,True,1e-05,True,147,0,28
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.299772,1.0,180,RL,True,1e-05,True,151,0,29
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.418564,1.0,185,RL,True,1e-05,True,156,0,29
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121927,1.0,190,RL,True,1e-05,True,160,0,30
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.228766,1.0,195,RL,True,1e-05,True,164,0,31
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121923,1.0,200,RL,True,1e-05,True,168,0,32
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.122269,1.0,205,RL,True,1e-05,True,172,0,33
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121919,1.0,210,RL,True,1e-05,True,177,0,33
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.123178,1.0,215,RL,True,1e-05,True,181,0,34
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122471,1.0,220,RL,True,1e-05,True,186,0,34
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122008,1.0,225,RL,True,1e-05,True,191,0,34
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.130357,1.0,230,RL,True,1e-05,True,194,0,36
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],3.167037,0.0,235,RL,False,1e-05,True,198,0,36
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121917,1.0,240,RL,True,1e-05,True,202,0,38
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.125134,1.0,245,RL,True,1e-05,True,207,0,38
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.122097,1.0,250,RL,True,1e-05,True,212,0,38
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],2.267582,0.0,255,RL,False,1e-05,True,216,0,38
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121939,1.0,260,RL,True,1e-05,True,221,0,39
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.121920,1.0,265,RL,True,1e-05,True,226,0,39
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121926,1.0,270,RL,True,1e-05,True,231,0,39
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122058,1.0,275,RL,True,1e-05,True,236,0,39
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.135251,1.0,280,RL,True,1e-05,True,241,0,39
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121951,1.0,285,RL,True,1e-05,True,246,0,39
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121931,1.0,290,RL,True,1e-05,True,251,0,39
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122281,1.0,295,RL,True,1e-05,True,256,0,39
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121934,1.0,300,RL,True,1e-05,True,260,0,40
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121932,1.0,305,RL,True,1e-05,True,264,0,41
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.198892,1.0,310,RL,True,1e-05,True,268,0,42
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.123221,1.0,315,RL,True,1e-05,True,273,0,42
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121920,1.0,320,RL,True,1e-05,True,278,0,42
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122494,1.0,325,RL,True,1e-05,True,282,0,43
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.125010,1.0,330,RL,True,1e-05,True,287,0,43
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121944,1.0,335,RL,True,1e-05,True,292,0,43
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122244,1.0,340,RL,True,1e-05,True,295,0,45
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.122595,1.0,345,RL,True,1e-05,True,299,0,46
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.126984,1.0,350,RL,True,1e-05,True,304,0,46
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.710430,1.0,355,RL,True,1e-05,True,308,0,47
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.122154,1.0,360,RL,True,1e-05,True,312,0,48
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.178522,1.0,365,RL,True,1e-05,True,317,0,48
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.135461,1.0,370,RL,True,1e-05,True,321,0,49
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121915,1.0,375,RL,True,1e-05,True,325,0,50
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.188601,1.0,380,RL,True,1e-05,True,330,0,50
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.157185,1.0,385,RL,True,1e-05,True,334,0,51
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121946,1.0,390,RL,True,1e-05,True,339,0,51
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121917,1.0,395,RL,True,1e-05,True,343,0,52
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122168,1.0,400,RL,True,1e-05,True,346,0,54
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],1.343952,0.0,405,RL,False,1e-05,True,350,0,54
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.121934,1.0,410,RL,True,1e-05,True,354,0,56
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121917,1.0,415,RL,True,1e-05,True,359,0,56
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.125713,1.0,420,RL,True,1e-05,True,364,0,56
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.121941,1.0,425,RL,True,1e-05,True,368,0,57
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.136027,1.0,430,RL,True,1e-05,True,373,0,57
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122065,1.0,435,RL,True,1e-05,True,378,0,57
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121915,1.0,440,RL,True,1e-05,True,383,0,57
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.203385,1.0,445,RL,True,1e-05,True,388,0,57
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.126379,1.0,450,RL,True,1e-05,True,392,0,58
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.167863,1.0,455,RL,True,1e-05,True,397,0,58
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],2.858850,0.0,460,RL,False,1e-05,True,401,0,58
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.125243,1.0,465,RL,True,1e-05,True,406,0,59
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],2.273146,0.0,470,RL,False,1e-05,True,410,0,59
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.531728,1.0,475,RL,True,1e-05,True,415,0,60
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.321559,1.0,480,RL,True,1e-05,True,420,0,60
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.308483,1.0,485,RL,True,1e-05,True,424,0,61
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.324075,1.0,490,RL,True,1e-05,True,427,0,63
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.155355,1.0,495,RL,True,1e-05,True,432,0,63
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121960,1.0,500,RL,True,1e-05,True,436,0,64
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.130433,1.0,505,RL,True,1e-05,True,440,0,65
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.123628,1.0,510,RL,True,1e-05,True,444,0,66
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.125241,1.0,515,RL,True,1e-05,True,449,0,66
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.125610,1.0,520,RL,True,1e-05,True,454,0,66
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.124304,1.0,525,RL,True,1e-05,True,459,0,66
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121916,1.0,530,RL,True,1e-05,True,463,0,67
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122435,1.0,535,RL,True,1e-05,True,468,0,67
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121915,1.0,540,RL,True,1e-05,True,473,0,67
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121915,1.0,545,RL,True,1e-05,True,478,0,67
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121915,1.0,550,RL,True,1e-05,True,482,0,68
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121922,1.0,555,RL,True,1e-05,True,487,0,68
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],4.170969,0.0,560,RL,False,1e-05,True,491,0,68
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.127669,1.0,565,RL,True,1e-05,True,496,0,69
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.121937,1.0,570,RL,True,1e-05,True,500,0,70
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],1.040523,0.0,575,RL,False,1e-05,True,503,0,71
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],9.599584,0.0,580,RL,False,1e-05,True,506,0,73
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.127031,1.0,585,RL,True,1e-05,True,511,0,74
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.123351,1.0,590,RL,True,1e-05,True,516,0,74
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.492044,1.0,595,RL,True,1e-05,True,521,0,74
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122265,1.0,600,RL,True,1e-05,True,525,0,75
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.641580,1.0,605,RL,True,1e-05,True,529,0,76
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.123827,1.0,610,RL,True,1e-05,True,532,0,78
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],2.738817,0.0,615,RL,False,1e-05,True,535,0,79
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.153293,1.0,620,RL,True,1e-05,True,539,0,81
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.122094,1.0,625,RL,True,1e-05,True,544,0,81
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],4.065500,0.0,630,RL,False,1e-05,True,548,0,81
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.306010,1.0,635,RL,True,1e-05,True,551,0,84
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121939,1.0,640,RL,True,1e-05,True,554,0,86
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121915,1.0,645,RL,True,1e-05,True,558,0,87
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.128409,1.0,650,RL,True,1e-05,True,562,0,88
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122513,1.0,655,RL,True,1e-05,True,566,0,89
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122484,1.0,660,RL,True,1e-05,True,570,0,90
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122335,1.0,665,RL,True,1e-05,True,575,0,90
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121918,1.0,670,RL,True,1e-05,True,580,0,90
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.140484,1.0,675,RL,True,1e-05,True,583,0,92
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.148333,1.0,680,RL,True,1e-05,True,587,0,93
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],3.179909,0.0,685,RL,False,1e-05,True,591,0,93
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.259537,1.0,690,RL,True,1e-05,True,594,0,96
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],1.736867,0.0,695,RL,False,1e-05,True,598,0,96
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.142214,1.0,700,RL,True,1e-05,True,603,0,97
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121915,1.0,705,RL,True,1e-05,True,607,0,98
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.175858,1.0,710,RL,True,1e-05,True,610,0,100
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],4.898074,0.0,715,RL,False,1e-05,True,613,0,101
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],6.959850,0.0,720,RL,False,1e-05,True,616,0,103
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.176895,1.0,725,RL,True,1e-05,True,620,0,105
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.121915,1.0,730,RL,True,1e-05,True,625,0,105
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122048,1.0,735,RL,True,1e-05,True,629,0,106
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122395,1.0,740,RL,True,1e-05,True,634,0,106
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121915,1.0,745,RL,True,1e-05,True,637,0,108
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.122067,1.0,750,RL,True,1e-05,True,642,0,108
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],1.373746,0.0,755,RL,False,1e-05,True,645,0,109
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122965,1.0,760,RL,True,1e-05,True,648,0,112
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122314,1.0,765,RL,True,1e-05,True,653,0,112
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.123430,1.0,770,RL,True,1e-05,True,658,0,112
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],5.068450,0.0,775,RL,False,1e-05,True,661,0,113
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.121916,1.0,780,RL,True,1e-05,True,665,0,115
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122536,1.0,785,RL,True,1e-05,True,670,0,115
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],2.465751,0.0,790,RL,False,1e-05,True,674,0,115
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.413472,1.0,795,RL,True,1e-05,True,679,0,116
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.669281,1.0,800,RL,True,1e-05,True,684,0,116
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122223,1.0,805,RL,True,1e-05,True,689,0,116
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],2.659030,0.0,810,RL,False,1e-05,True,693,0,116
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121920,1.0,815,RL,True,1e-05,True,697,0,118
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.122039,1.0,820,RL,True,1e-05,True,701,0,119
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.121915,1.0,825,RL,True,1e-05,True,706,0,119
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121918,1.0,830,RL,True,1e-05,True,710,0,120
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.136374,1.0,835,RL,True,1e-05,True,715,0,120
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121925,1.0,840,RL,True,1e-05,True,718,0,122
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.123119,1.0,845,RL,True,1e-05,True,723,0,122
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],1.358140,0.0,850,RL,False,1e-05,True,727,0,122
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122729,1.0,855,RL,True,1e-05,True,730,0,125
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.122012,1.0,860,RL,True,1e-05,True,735,0,125
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.431442,1.0,865,RL,True,1e-05,True,739,0,126
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122240,1.0,870,RL,True,1e-05,True,743,0,127
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121924,1.0,875,RL,True,1e-05,True,748,0,127
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.125446,1.0,880,RL,True,1e-05,True,753,0,127
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121919,1.0,885,RL,True,1e-05,True,757,0,128
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.123011,1.0,890,RL,True,1e-05,True,761,0,129
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.121915,1.0,895,RL,True,1e-05,True,765,0,130
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],1.836987,0.0,900,RL,False,1e-05,True,769,0,130
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121999,1.0,905,RL,True,1e-05,True,774,0,131
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121960,1.0,910,RL,True,1e-05,True,779,0,131
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121923,1.0,915,RL,True,1e-05,True,784,0,131
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],2.484084,0.0,920,RL,False,1e-05,True,787,0,132
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122039,1.0,925,RL,True,1e-05,True,792,0,133
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],2.474166,0.0,930,RL,False,1e-05,True,794,0,135
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121918,1.0,935,RL,True,1e-05,True,799,0,136
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.332367,1.0,940,RL,True,1e-05,True,804,0,136
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],5.003941,0.0,945,RL,False,1e-05,True,808,0,136
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.134216,1.0,950,RL,True,1e-05,True,813,0,137
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],2.018830,0.0,955,RL,False,1e-05,True,817,0,137
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.121926,1.0,960,RL,True,1e-05,True,822,0,138
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.123212,1.0,965,RL,True,1e-05,True,827,0,138
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.121915,1.0,970,RL,True,1e-05,True,832,0,138
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.123956,1.0,975,RL,True,1e-05,True,836,0,139
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.122023,1.0,980,RL,True,1e-05,True,840,0,140
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],2.523844,0.0,985,RL,False,1e-05,True,844,0,140
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121915,1.0,990,RL,True,1e-05,True,848,0,142
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121917,1.0,995,RL,True,1e-05,True,852,0,143
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121918,1.0,1000,RL,True,1e-05,True,856,0,144
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.182394,1.0,1149,RL,True,9.85074875e-06,True,861,0,0
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.481910,1.0,1154,RL,True,9.85074875e-06,True,866,0,0
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122195,1.0,1159,RL,True,9.85074875e-06,True,871,0,0
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121845,1.0,1164,RL,True,9.85074875e-06,True,876,0,0
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.129711,1.0,1169,RL,True,9.85074875e-06,True,880,0,1
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.126393,1.0,1174,RL,True,9.85074875e-06,True,884,0,2
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121845,1.0,1179,RL,True,9.85074875e-06,True,888,0,3
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.606466,1.0,1184,RL,True,9.85074875e-06,True,893,0,3
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.220146,1.0,1189,RL,True,9.85074875e-06,True,898,0,3
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.122259,1.0,1194,RL,True,9.85074875e-06,True,903,0,3
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.644758,1.0,1199,RL,True,9.85074875e-06,True,908,0,3
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],3.437013,0.0,1204,RL,False,9.85074875e-06,True,912,0,3
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122271,1.0,1209,RL,True,9.85074875e-06,True,917,0,4
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],1.719949,0.0,1214,RL,False,9.85074875e-06,True,921,0,4
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],1.978011,0.0,1219,RL,False,9.85074875e-06,True,925,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121845,1.0,1224,RL,True,9.85074875e-06,True,930,0,6
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.121982,1.0,1229,RL,True,9.85074875e-06,True,934,0,7
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.141173,1.0,1234,RL,True,9.85074875e-06,True,938,0,8
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.121863,1.0,1239,RL,True,9.85074875e-06,True,943,0,8
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.131248,1.0,1244,RL,True,9.85074875e-06,True,948,0,8
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.133153,1.0,1249,RL,True,9.85074875e-06,True,953,0,8
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.164234,1.0,1254,RL,True,9.85074875e-06,True,957,0,9
