==> Training1.csv <==
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.118062,1.0,55978,RL,True,9.60693043575437e-06,True,44552,0,103
2019-05-09 12:48

==> Training10.csv <==
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.098442,1.0,486034,RL,True,1e-05,True,416581,8,138
2019-05-11 14:12

==> Training100.csv <==
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.044513,1.0,504306,RL,True,1e-05,True,488847,9,42
2019-06-01 08:55

==> Training110.csv <==
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.043079,1.0,503979,RL,True,5.159963842937163e-06,True,489387,9,20
2019-06-03 11:03

==> Training120.csv <==
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.041887,1.0,505304,RL,True,8.734200960253875e-06,True,489864,9,28
2019-06-05 19:04

==> Training130.csv <==
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.040791,1.0,505024,RL,True,9.51110130465772e-06,True,490196,9,15
2019-06-06 20:01

==> Training140.csv <==
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.049798,1.0,498626,RL,True,9.091562615825306e-06,True,490571,9,21
2019-06-07 20:46

==> Training150.csv <==
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.074662,1.0,493423,RL,True,8.307187014821332e-06,True,490733,9,23
2019-06-10 09:06

==> Training160.csv <==
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.038323,1.0,488286,RL,True,9.229311239742366e-06,True,490908,9,14
2019-06-12 00:40

==> Training170.csv <==
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.037663,1.0,484858,RL,True,8.433051360508339e-06,True,491227,9,22
2019-06-13 21:31

==> Training180.csv <==
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.037117,1.0,490661,RL,True,9.137248860125936e-06,True,491469,9,16
2019-06-15 19:07

==> Training190.csv <==
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.036555,1.0,485537,RL,True,6.401093727576668e-06,True,491597,9,20
2019-06-17 16:06

==> Training20.csv <==
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.078598,1.0,529435,RL,True,9.04610480274618e-06,True,472445,9,57
2019-05-14 03:43

==> Training200.csv <==
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.037324,1.0,485385,RL,True,8.603841919146965e-06,True,491711,9,20
2019-06-19 03:14

==> Training210.csv <==
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.035725,1.0,485435,RL,True,9.229311239742366e-06,True,491783,9,14
2019-06-21 07:52

==> Training30.csv <==
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.069962,1.0,522904,RL,True,9.091562615825306e-06,True,477815,9,44
2019-05-17 03:01

==> Training40.csv <==
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.062342,1.0,519180,RL,True,9.801495006250001e-06,True,481429,9,35
2019-05-20 15:47

==> Training50.csv <==
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.131405,1.0,517199,RL,True,8.183201210226748e-06,True,483656,9,38
2019-05-22 04:40

==> Training60.csv <==
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.053626,1.0,513017,RL,True,9.60693043575437e-06,True,485247,9,39
2019-05-23 13:20

==> Training70.csv <==
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.050650,1.0,511884,RL,True,8.020760579717642e-06,True,486469,9,28
2019-05-25 11:29

==> Training80.csv <==
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.048190,1.0,508271,RL,True,8.690529955452606e-06,True,486816,9,13
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.097270,1.0,508276,RL,True,8.690529955452606e-06,True,486821,9,13

==> Training90.csv <==
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.048403,1.0,507130,RL,True,8.061065909263962e-06,True,488260,9,26
2019-05-29 20:03
