TotalScore,Average, ZeroScoreCount, thirdScoreCount, CoopScoreCount, MaxScoreCount
490269.470000026,,468800,59741,2659,468800
618597.73999576,,6290,119362,868058,6290
659976.579997736,,34,38,999894,34
655899.559997535,,872,11580,986676,872
659999.999997737,,0,0,1000000,0
330000.669998869,,0,999999,0,1
659999.999997737,,0,0,1000000,0
659999.999997737,,0,0,1000000,0
659584.889997717,,3,1255,998739,3
659997.379997737,,2,6,999990,2
