Total Error, action, LearnRate, InvestigationRate, Reward, Cache Size, High Error, Enhanced Count, Position of Low Error, Position of High Error, learn count
0.00788981650322784,1,0.01,90,1,0,0,10,0,0,88
0.00786796053000465,1,0.01,90,1,0,0,10,0,0,89
0.00784621765566839,1,0.01,90,1,0,0,10,0,0,90
0.00782458706173699,1,0.01,90,1,0,0,10,0,0,91
0.0078030679371566,1,0.01,90,1,0,0,10,0,0,92
0.0077816594782221,1,0.01,90,1,0,0,10,0,0,93
0.00776036088849822,1,0.01,90,1,0,0,10,0,0,94
0.00773917137874179,1,0.01,90,1,0,0,10,0,0,95
0.00771809016682491,1,0.01,90,1,0,0,10,0,0,96
0.00769711647765917,1,0.01,90,1,0,0,10,0,0,97
0.00767624954312051,1,0.01,90,1,0,0,10,0,0,98
0.00765548860197533,1,0.01,90,1,0,0,10,0,0,99
0.00763483289980711,1,0.01,90,1,0,0,10,0,0,100
0.00761428168894442,1,0.01,90,1,0,0,10,0,0,101
0.00759383422838923,1,0.01,90,1,0,0,10,0,0,102
0.00757348978374661,1,0.01,90,1,0,0,10,0,0,103
0.00755324762715478,1,0.01,90,1,0,0,10,0,0,104
0.00753310703721647,1,0.01,90,1,0,0,10,0,0,105
0.00751306729893079,1,0.01,90,1,0,0,10,0,0,106
0.00749312770362604,1,0.01,90,1,0,0,10,0,0,107
0.00747328754889327,1,0.01,90,1,0,0,10,0,0,108
0.00745354613852075,1,0.01,90,1,0,0,10,0,0,109
0.00743390278242896,1,0.01,90,1,0,0,10,0,0,110
0.00741435679660677,1,0.01,90,1,0,0,10,0,0,111
0.341063419130846,1,0.01,90,0.33,0,0,10,0,0,112
0.00847293874545869,1,0.01,90,1,0,0,10,0,0,113
0.00750418428386769,1,0.01,90,1,0,0,10,0,0,114
0.340458491466611,1,0.01,90,0.33,0,0,10,0,0,115
0.00858693370940322,1,0.01,90,1,0,0,10,0,0,116
0.0075951058272159,1,0.01,90,1,0,0,10,0,0,117
0.00757475655811259,1,0.01,90,1,0,0,10,0,0,118
0.00755450960103235,1,0.01,90,1,0,0,10,0,0,119
0.00753436423444065,1,0.01,90,1,0,0,10,0,0,120
0.00751431974320019,1,0.01,90,1,0,0,10,0,0,121
0.00749437541850344,1,0.01,90,1,0,0,10,0,0,122
0.00747453055780658,1,0.01,90,1,0,0,10,0,0,123
0.00745478446476344,1,0.01,90,1,0,0,10,0,0,124
0.340790638492255,1,0.01,90,0.33,0,0,10,0,0,125
0.00853550106440955,1,0.01,90,1,0,0,10,0,0,126
0.00754506987366297,1,0.01,90,1,0,0,10,0,0,127
0.00752497257711879,1,0.01,90,1,0,0,10,0,0,128
0.00750497581305334,1,0.01,90,1,0,0,10,0,0,129
0.00748507887572717,1,0.01,90,1,0,0,10,0,0,130
0.00746528106563177,1,0.01,90,1,0,0,10,0,0,131
0.00744558168942456,1,0.01,90,1,0,0,10,0,0,132
0.00742598005986404,1,0.01,90,1,0,0,10,0,0,133
0.340984892953004,1,0.01,90,0.33,0,0,10,0,0,134
0.0085084725083708,1,0.01,90,1,0,0,10,0,0,135
0.00751588448371302,1,0.01,90,1,0,0,10,0,0,136
0.00749593388372182,1,0.01,90,1,0,0,10,0,0,137
0.00747608278194966,1,0.01,90,1,0,0,10,0,0,138
0.00745633048182131,1,0.01,90,1,0,0,10,0,0,139
0.00743667629289624,1,0.01,90,1,0,0,10,0,0,140
0.00741711953080477,1,0.01,90,1,0,0,10,0,0,141
0.00739765951718444,1,0.01,90,1,0,0,10,0,0,142
0.00737829557961769,1,0.01,90,1,0,0,10,0,0,143
0.00735902705156998,1,0.01,90,1,0,0,10,0,0,144
0.00733985327232871,1,0.01,90,1,0,0,10,0,0,145
0.00732077358694286,1,0.01,90,1,0,0,10,0,0,146
0.00730178734616337,1,0.01,90,1,0,0,10,0,0,147
0.00728289390638424,1,0.01,90,1,0,0,10,0,0,148
0.00726409262958417,1,0.01,90,1,0,0,10,0,0,149
0.00724538288326916,1,0.01,90,1,0,0,10,0,0,150
0.00722676404041555,1,0.01,90,1,0,0,10,0,0,151
0.00720823547941383,1,0.01,90,1,0,0,10,0,0,152
0.00718979658401312,1,0.01,90,1,0,0,10,0,0,153
0.342594357548095,1,0.01,90,0.33,0,0,10,0,0,154
0.00823429666967584,1,0.01,90,1,0,0,10,0,0,155
0.00727671811773521,1,0.01,90,1,0,0,10,0,0,156
0.00725794762435352,1,0.01,90,1,0,0,10,0,0,157
0.00723926844614974,1,0.01,90,1,0,0,10,0,0,158
0.00722067995799151,1,0.01,90,1,0,0,10,0,0,159
0.00720218154014078,1,0.01,90,1,0,0,10,0,0,160
0.00718377257819881,1,0.01,90,1,0,0,10,0,0,161
0.00716545246305125,1,0.01,90,1,0,0,10,0,0,162
0.00714722059081417,1,0.01,90,1,0,0,10,0,0,163
0.00712907636278087,1,0.01,90,1,0,0,10,0,0,164
0.00711101918536884,1,0.01,90,1,0,0,10,0,0,165
0.00709304847006782,1,0.01,90,1,0,0,10,0,0,166
0.00707516363338808,1,0.01,90,1,0,0,10,0,0,167
0.00705736409680961,1,0.01,90,1,0,0,10,0,0,168
0.0070396492867318,1,0.01,90,1,0,0,10,0,0,169
0.00702201863442341,1,0.01,90,1,0,0,10,0,0,170
0.00700447157597375,1,0.01,90,1,0,0,10,0,0,171
0.00698700755224379,1,0.01,90,1,0,0,10,0,0,172
0.00696962600881819,1,0.01,90,1,0,0,10,0,0,173
0.00695232639595774,1,0.01,90,1,0,0,10,0,0,174
0.00693510816855257,1,0.01,90,1,0,0,10,0,0,175
0.0659594197837619,0,0.01,90,0.66,0,0,10,0,0,176
0.00828747104611862,1,0.01,90,1,0,0,10,0,0,177
0.00695520206271018,1,0.01,90,1,0,0,10,0,0,178
0.00693796973282935,1,0.01,90,1,0,0,10,0,0,179
0.00692081834088199,1,0.01,90,1,0,0,10,0,0,180
0.00690374735010792,1,0.01,90,1,0,0,10,0,0,181
0.0068867562282462,1,0.01,90,1,0,0,10,0,0,182
0.00686984444749001,1,0.01,90,1,0,0,10,0,0,183
0.00685301148444242,1,0.01,90,1,0,0,10,0,0,184
0.0068362568200723,1,0.01,90,1,0,0,10,0,0,185
0.00681957993967115,1,0.01,90,1,0,0,10,0,0,186
0.345179537183433,1,0.01,90,0.33,0,0,10,0,0,187
0.00780007048099375,1,0.01,90,1,0,0,10,0,0,188
0.00690175892054997,1,0.01,90,1,0,0,10,0,0,189
0.00688477768335144,1,0.01,90,1,0,0,10,0,0,190
0.00686787571851232,1,0.01,90,1,0,0,10,0,0,191
0.00685105250323362,1,0.01,90,1,0,0,10,0,0,192
0.00683430751907612,1,0.01,90,1,0,0,10,0,0,193
0.00681764025191707,1,0.01,90,1,0,0,10,0,0,194
0.00680105019190722,1,0.01,90,1,0,0,10,0,0,195
0.00678453683342855,1,0.01,90,1,0,0,10,0,0,196
0.0067680996750525,1,0.01,90,1,0,0,10,0,0,197
0.00675173821949838,1,0.01,90,1,0,0,10,0,0,198
0.00673545197359262,1,0.01,90,1,0,0,10,0,0,199
0.00671924044822827,1,0.01,90,1,0,0,10,0,0,200
0.00670310315832489,1,0.01,90,1,0,0,10,0,0,201
0.00668703962278922,1,0.01,90,1,0,0,10,0,0,202
0.0667310347251761,0,0.01,90,0.66,0,0,10,0,0,203
0.062623456090693,0,0.01,90,0.66,0,0,10,0,0,204
0.00810697869599353,1,0.01,90,1,0,0,10,0,0,205
0.00674798408698217,1,0.01,90,1,0,0,10,0,0,206
0.00673171615006386,1,0.01,90,1,0,0,10,0,0,207
0.0067155228153742,1,0.01,90,1,0,0,10,0,0,208
0.00669940359879144,1,0.01,90,1,0,0,10,0,0,209
0.00668335802017169,1,0.01,90,1,0,0,10,0,0,210
0.00666738560330986,1,0.01,90,1,0,0,10,0,0,211
0.0667929692259161,0,0.01,90,0.66,0,0,10,0,0,212
0.0080462321679965,1,0.01,90,1,0,0,10,0,0,213
0.00668716015701336,1,0.01,90,1,0,0,10,0,0,214
0.00667116988046412,1,0.01,90,1,0,0,10,0,0,215
0.00665525240810501,1,0.01,90,1,0,0,10,0,0,216
0.00663940727056405,1,0.01,90,1,0,0,10,0,0,217
0.00662363400230287,1,0.01,90,1,0,0,10,0,0,218
0.00660793214157893,1,0.01,90,1,0,0,10,0,0,219
0.00659230123040886,1,0.01,90,1,0,0,10,0,0,220
0.00657674081453186,1,0.01,90,1,0,0,10,0,0,221
0.00656125044337341,1,0.01,90,1,0,0,10,0,0,222
0.00654582967000973,1,0.01,90,1,0,0,10,0,0,223
0.0065304780511323,1,0.01,90,1,0,0,10,0,0,224
0.00651519514701308,1,0.01,90,1,0,0,10,0,0,225
0.00649998052146978,1,0.01,90,1,0,0,10,0,0,226
0.00648483374183183,1,0.01,90,1,0,0,10,0,0,227
0.00646975437890654,1,0.01,90,1,0,0,10,0,0,228
0.00645474200694568,1,0.01,90,1,0,0,10,0,0,229
0.00643979620361246,1,0.01,90,1,0,0,10,0,0,230
0.00642491654994875,1,0.01,90,1,0,0,10,0,0,231
0.00641010263034295,1,0.01,90,1,0,0,10,0,0,232
0.0063953540324979,1,0.01,90,1,0,0,10,0,0,233
0.0063806703473992,1,0.01,90,1,0,0,10,0,0,234
0.00636605116928411,1,0.01,90,1,0,0,10,0,0,235
0.00635149609561052,1,0.01,90,1,0,0,10,0,0,236
0.00633700472702639,1,0.01,90,1,0,0,10,0,0,237
0.00632257666733956,1,0.01,90,1,0,0,10,0,0,238
0.348779716224651,1,0.01,90,0.33,0,0,10,0,0,239
0.00721480018338559,1,0.01,90,1,0,0,10,0,0,240
0.00639823976074533,1,0.01,90,1,0,0,10,0,0,241
0.00638354384969841,1,0.01,90,1,0,0,10,0,0,242
0.00636891251943248,1,0.01,90,1,0,0,10,0,0,243
0.00635434536683688,1,0.01,90,1,0,0,10,0,0,244
0.00633984199199615,1,0.01,90,1,0,0,10,0,0,245
0.00632540199815992,1,0.01,90,1,0,0,10,0,0,246
0.00631102499171286,1,0.01,90,1,0,0,10,0,0,247
0.00629671058214501,1,0.01,90,1,0,0,10,0,0,248
0.0062824583820226,1,0.01,90,1,0,0,10,0,0,249
0.349077259748506,1,0.01,90,0.33,0,0,10,0,0,250
0.00717232195051513,1,0.01,90,1,0,0,10,0,0,251
0.00635757545621929,1,0.01,90,1,0,0,10,0,0,252
0.00634305840725384,1,0.01,90,1,0,0,10,0,0,253
0.00632860482178874,1,0.01,90,1,0,0,10,0,0,254
0.00631421430557335,1,0.01,90,1,0,0,10,0,0,255
0.00629988646746847,1,0.01,90,1,0,0,10,0,0,256
0.00628562091941669,1,0.01,90,1,0,0,10,0,0,257
0.00627141727641348,1,0.01,90,1,0,0,10,0,0,258
0.00625727515647827,1,0.01,90,1,0,0,10,0,0,259
0.00624319418062627,1,0.01,90,1,0,0,10,0,0,260
0.00622917397284008,1,0.01,90,1,0,0,10,0,0,261
0.00621521416004198,1,0.01,90,1,0,0,10,0,0,262
0.349578425449888,1,0.01,90,0.33,0,0,10,0,0,263
0.0070974846514623,1,0.01,90,1,0,0,10,0,0,264
0.0679614189226172,0,0.01,90,0.66,0,0,10,0,0,265
0.0077043540585858,1,0.01,90,1,0,0,10,0,0,266
0.00632296884934334,1,0.01,90,1,0,0,10,0,0,267
0.0063086028727237,1,0.01,90,1,0,0,10,0,0,268
0.0062942994193951,1,0.01,90,1,0,0,10,0,0,269
0.00628005810254098,1,0.01,90,1,0,0,10,0,0,270
0.349095093194232,1,0.01,90,0.33,0,0,10,0,0,271
0.0071797282273401,1,0.01,90,1,0,0,10,0,0,272
0.00635511714567862,1,0.01,90,1,0,0,10,0,0,273
0.00634061129671902,1,0.01,90,1,0,0,10,0,0,274
0.00632616883624508,1,0.01,90,1,0,0,10,0,0,275
0.00631178937063771,1,0.01,90,1,0,0,10,0,0,276
0.00629747250938282,1,0.01,90,1,0,0,10,0,0,277
0.00628321786504197,1,0.01,90,1,0,0,10,0,0,278
0.00626902505322339,1,0.01,90,1,0,0,10,0,0,279
0.00625489369255324,1,0.01,90,1,0,0,10,0,0,280
0.00624082340464734,1,0.01,90,1,0,0,10,0,0,281
0.00622681381408305,1,0.01,90,1,0,0,10,0,0,282
0.0062128645483715,1,0.01,90,1,0,0,10,0,0,283
0.00619897523793016,1,0.01,90,1,0,0,10,0,0,284
0.00618514551605562,1,0.01,90,1,0,0,10,0,0,285
