Total Error, action, LearnRate, InvestigationRate, Reward, Cache Size, High Error, Enhanced Count, Position of Low Error, Position of High Error, learn count
0.00342214086579924,1,0.01,90,1,1,0.00342214086579924,9,0,0,1
0.377591195728465,1,0.01,90,0.33,2,0.377654746758423,8,1,0,3
0.373291255298494,1,0.01,90,0.33,3,0.373348921760006,7,1,0,8
0.370909061320882,1,0.01,90,0.33,4,0.370971951029402,6,1,0,14
0.367741192232337,1,0.01,90,0.33,5,0.367811422032673,5,1,0,21
0.363649561574518,1,0.01,90,0.33,6,0.363729935373563,4,1,0,29
0.865541252757319,0,0.01,90,0,7,0.862017151248121,3,6,0,38
0.0735845871383983,0,0.01,90,0.66,8,0.866467506693437,2,6,0,48
0.0690363153454488,0,0.01,90,0.66,9,0.847425008996236,1,6,0,59
0.0665394952372633,0,0.01,90,0.66,10,0.838285789764295,0,6,0,71
0.0637693499104412,0,0.009995,90.0045,0.66,11,0.832703589501805,0,6,0,73
0.062938658968585,0,0.0099900025,90.009000225,0.66,12,0.829694693772214,0,6,0,75
0.0620929457321458,0,0.00998500749875,90.0135006750112,0.66,13,0.826616567023915,0,6,0,77
0.0612322773777845,0,0.00998001499500063,90.018001350045,0.66,14,0.823468344129532,0,6,0,79
0.0603567569430877,0,0.00997502498750313,90.0225022501125,0.66,15,0.820249238042536,0,6,0,81
0.0594665256409171,0,0.00997003747500937,90.027003375225,0.66,16,0.81695854833911,0,6,0,83
0.0585617651385913,0,0.00996505245627187,90.0315047253938,0.66,17,0.813595670003873,0,6,0,85
0.0576426997758049,0,0.00996006993004373,90.03600630063,0.66,18,0.810160102405201,0,6,0,87
0.0567095986927022,0,0.00995508989507871,90.0405081009451,0.66,19,0.806651458396694,0,6,0,89
0.0557627778371995,0,0.00995011235013117,90.0450101263501,0.66,20,0.803069473471952,0,6,0,91
0.0548026018185668,0,0.0099451372939561,90.0495123768564,0.66,20,0.799414014890432,0,6,0,93
0.0538294855725244,0,0.00994016472530913,90.0540148524753,0.66,20,0.795685090682972,0,5,6,95
0.0528438958017763,0,0.00993519464294647,90.0585175532179,0.66,20,0.791882858436793,0,5,6,97
0.0518463521550853,0,0.009930227045625,90.0630204790956,0.66,20,0.788007633751735,0,5,6,99
0.0508374281077906,0,0.00992526193210219,90.0675236301195,0.66,20,0.784059898252459,0,5,6,101
0.0498177515071678,0,0.00992029930113614,90.072027006301,0.66,20,0.780040307035575,0,5,6,103
0.0487880047473224,0,0.00991533915148557,90.0765306076514,0.66,20,0.775949695426558,0,5,6,105
0.0477489245404554,0,0.00991038148190983,90.0810344341817,0.66,20,0.771789084919154,0,5,6,107
0.0467013012544074,0,0.00990542629116887,90.0855384859034,0.66,20,0.767559688169989,0,5,6,109
0.0456459777903998,0,0.00990047357802329,90.0900427628277,0.66,20,0.763262912923722,0,5,6,111
0.0445838479798652,0,0.00989552334123427,90.0945472649659,0.66,20,0.758900364749355,0,5,6,113
0.0435158544851536,0,0.00989057557956366,90.0990519923291,0.66,20,0.754473848476488,0,5,6,115
0.0424429861956789,0,0.00988563029177387,90.1035569449288,0.66,20,0.749985368231563,0,5,6,117
0.0413662751186166,0,0.00988068747662799,90.108062122776,0.66,20,0.745437125988274,0,5,6,119
0.0402867927714634,0,0.00987574713288967,90.1125675258821,0.66,20,0.740831518563463,0,5,6,121
0.0392056460924436,0,0.00987080925932323,90.1170731542584,0.66,20,0.73617113300966,0,5,6,123
0.0381239728937064,0,0.00986587385469356,90.1215790079162,0.66,20,0.731458740377634,0,5,6,125
0.0370429368912691,0,0.00986094091776622,90.1260850868666,0.66,20,0.726697287846625,0,5,6,127
