TotalScore,Average, ZeroScoreCount, thirdScoreCount, CoopScoreCount, MaxScoreCount
355732.389999938,,41314,881961,35411,41314
553464.639995064,,177790,150432,493988,177790
349164.219999834,,43178,900056,13589,43177
368437.170000226,,56803,828441,57954,56802
329999.669998869,,1,999999,0,0
329999.669998869,,1,999999,0,0
329999.669998869,,1,999999,0,0
659999.999997737,,0,0,1000000,0
329999.669998869,,1,999999,0,0
