TotalScore,Average, ZeroScoreCount, thirdScoreCount, CoopScoreCount, MaxScoreCount
355732.389999938,,41314,881961,35411,41314
553464.639995064,,177790,150432,493988,177790
349165.219999834,,43177,900056,13589,43178
368438.170000226,,56802,828441,57954,56803
330000.669998869,,0,999999,0,1
330000.669998869,,0,999999,0,1
330000.669998869,,0,999999,0,1
659999.999997737,,0,0,1000000,0
330000.669998869,,0,999999,0,1
